oa ob oc od	name a	name b	name c	name d	name e	name f	name g	|	min	max	desc
         1d							32				12768	52768	-20,000 .. +20,000	
      04 00					chorus							
         00						type								
         01						level					0	127		
         02						output_assign					0	3	A, ___, ___, ___	
         03						output_select					0	2	MAIN, REV, MAIN+REV	
         04						parameter								
         04							1				12768	52768	-20,000 .. +20,000	
         08							2				12768	52768	-20,000 .. +20,000	
         0c							3				12768	52768	-20,000 .. +20,000	
         10							4				12768	52768	-20,000 .. +20,000	
         14							5				12768	52768	-20,000 .. +20,000	
         18							6				12768	52768	-20,000 .. +20,000	
         1c							7				12768	52768	-20,000 .. +20,000	
         20							8				12768	52768	-20,000 .. +20,000	
         24							9				12768	52768	-20,000 .. +20,000	
         28							10				12768	52768	-20,000 .. +20,000	
         2c							11				12768	52768	-20,000 .. +20,000	
         30							12				12768	52768	-20,000 .. +20,000	
         34							13				12768	52768	-20,000 .. +20,000	
         38							14				12768	52768	-20,000 .. +20,000	
         3c							15				12768	52768	-20,000 .. +20,000	
         40							16				12768	52768	-20,000 .. +20,000	
         44							17				12768	52768	-20,000 .. +20,000	
         48							18				12768	52768	-20,000 .. +20,000	
         4c							19				12768	52768	-20,000 .. +20,000	
         50							20				12768	52768	-20,000 .. +20,000	
      06 00					reverb							
         00						type					0	5		
         01						level					0	127		
         02						output_assign					0	3	A, ___, ___, ___	
         03						parameter								
         03							1				12768	52768	-20,000 .. +20,000	
         07							2				12768	52768	-20,000 .. +20,000	
         0b							3				12768	52768	-20,000 .. +20,000	
         0f							4				12768	52768	-20,000 .. +20,000	
         13							5				12768	52768	-20,000 .. +20,000	
         17							6				12768	52768	-20,000 .. +20,000	
         1b							7				12768	52768	-20,000 .. +20,000	
         1f							8				12768	52768	-20,000 .. +20,000	
         23							9				12768	52768	-20,000 .. +20,000	
         27							10				12768	52768	-20,000 .. +20,000	
         2b							11				12768	52768	-20,000 .. +20,000	
         2f							12				12768	52768	-20,000 .. +20,000	
         33							13				12768	52768	-20,000 .. +20,000	
         37							14				12768	52768	-20,000 .. +20,000	
         3b							15				12768	52768	-20,000 .. +20,000	
         3f							16				12768	52768	-20,000 .. +20,000	
         43							17				12768	52768	-20,000 .. +20,000	
         47							18				12768	52768	-20,000 .. +20,000	
         4b							19				12768	52768	-20,000 .. +20,000	
         4f							20				12768	52768	-20,000 .. +20,000	
      10 00					tmt							
         00						1-2	structure_type					
         01							booster					
         02						3-4	structure_type					
         03							booster					
         04						velocity_control						
         05						1	tone_switch					
         06							keyboard	range_lower					
         07								range_upper					
         08								fade_lower					
         09								fade_upper					
         0a							velocity	range_lower				
         0b								range_upper				
         0c								fade_lower				
         0d								fade_upper				
           						2							SEE: tmt.1
           						3							SEE: tmt.1
           						4							SEE: tmt.1
      20 00					tone							
      20 00						1						
         00							level					
         01							coarse_tune					
         02							fine_tune					
         03							random_pitch_depth					
         04							pan					
         05							pan_keyfollow					
         06							random_pan_depth					
         07							alt_pan_depth					
         08							env_mode					
         09							delay_mode					
         0a							delay_time					
         0c							dry_send					
